frame_num,player_1_no_of_shots,player_1_total_shot_speed,player_1_last_shot_speed,player_1_total_player_speed,player_1_last_player_speed,player_2_no_of_shots,player_2_total_shot_speed,player_2_last_shot_speed,player_2_total_player_speed,player_2_last_player_speed,player_1_avg_shot_speed,player_2_avg_shot_speed,player_1_avg_player_speed,player_2_avg_player_speed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
12,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
13,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
14,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
15,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
16,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
17,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
18,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
19,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
20,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
21,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
22,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
23,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
24,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
25,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
26,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
27,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
28,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
29,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
30,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
31,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
32,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
33,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
34,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
35,1.0,33.73611831665039,33.73611831665039,0.0,0.0,0.0,0.0,0.0,1.7198820114135742,1.7198820114135742,33.73611831665039,,0.0,inf
